42 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9983945488948631, 0.0007970261847913118, -0.05589926543932666], [-0.007093541685609529, 0.9992991388509851, 0.03675476444939522], [0.0561961412619123, -0.03629923268690435, 0.9977596700905527]], [0.02,-0.0,0.04]
43 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.999926507478557, -0.00014006247333044563, 0.009980241861645337], [-0.007232611478005548, 0.9993457197531225, 0.035437575858988594], [-0.009729798429872679, -0.035507154671876436, 0.9993220567122112]], [0.03,0.0,0.05]
44 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9993115961537617, -0.0005204704277648308, 0.03667212118780753], [-0.006881003954717031, 0.9993781447968363, 0.034582877717293466], [-0.03645525360527698, -0.034811411752433345, 0.998728781993545]], [0.03,0.01,0.07]
45 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9982993602198064, -0.0008307648624033895, 0.05810508820380113], [-0.006703167504500528, 0.9993941783889366, 0.034151775972502255], [-0.05790902419096065, -0.03448318422794254, 0.9977261423490972]], [0.03,0.01,0.07]
46 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9960750043063822, -0.00132425041899591, 0.08844004550208667], [-0.006702350603350837, 0.9993707240213906, 0.034831515561785556], [-0.08825907523260063, -0.03528755820155614, 0.9954723119978058]], [0.03,0.01,0.07]
47 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9946606757531453, -0.0015057837200834444, 0.1031487187035264], [-0.00676622897095247, 0.9994030893196253, 0.03387747376292602], [-0.10297746586683906, -0.03439451878397129, 0.9940888586265464]], [0.03,0.01,0.08]
48 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9921788273976546, -0.0018963599049691693, 0.12480102975627255], [-0.006794641768934573, 0.9993780553810528, 0.03460253395588875], [-0.12463951396219136, -0.0351798798130859, 0.9915782212394281]], [0.04,0.01,0.09]
49 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9900335072908294, -0.0021166843109202277, 0.14081937261395314], [-0.006729325073779047, 0.999401807773451, 0.03392260006562038], [-0.1406711430685922, -0.03453213005846971, 0.9894539713197407]], [0.04,0.01,0.09]
50 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9906253813821461, -0.0019170168754078613, 0.13658434145183476], [-0.0069430841308209534, 0.9994531869867882, 0.03232832410062657], [-0.13643000483927645, -0.03297357500395649, 0.9901008009007689]], [0.04,0.01,0.09]
51 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[0.9965881407349935, -0.0010983899959719663, 0.08240670895284191], [-0.007293073656358645, 0.9994502961240219, 0.03234063429295579], [-0.08221246043397207, -0.03283129081077503, 0.9960739016231184]], [0.04,0.01,0.09]
