23 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.97824597  0.00903864 -0.2072513 ], [-0.01087067  0.99991125 -0.0077025 ], [0.20716329 0.0097879  0.97825742]], [0.02,-0.06,-0.17]
24 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.96444064  0.00908615 -0.26414376], [-0.01151631  0.99990451 -0.00765307], [0.26404899 0.01042289 0.96445298]], [0.02,-0.06,-0.19]
25 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.94561124 -0.00492273 -0.32526159], [-0.00437538  0.99960256 -0.02784893], [0.3252694  0.02775741 0.94521385]], [0.02,-0.08,-0.2]
26 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.92102087 -0.0039632  -0.38949314], [-0.00663084  0.9996438  -0.02585137], [0.38945681 0.02639232 0.92066646]], [0.03,-0.08,-0.2]
27 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.89235902  0.00163641 -0.45132318], [-0.01962821  0.99918813 -0.03518614], [0.45089918 0.04025733 0.89166659]], [0.03,-0.09,-0.21]
28 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.86518145  0.00373302 -0.50144506], [-0.02543441  0.99901199 -0.03644675], [0.50081348 0.044287   0.86442149]], [0.03,-0.09,-0.22]
29 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.841712    0.0063191  -0.53988975], [-0.03156003  0.99879777 -0.03751312], [0.53900355 0.04861417 0.84089941]], [0.03,-0.09,-0.23]
30 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.82466102  0.00853303 -0.5655629 ], [-0.03698109  0.99856037 -0.03885708], [0.56441706 0.05295905 0.82378924]], [0.03,-0.09,-0.23]
31 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.81000352  0.00957358 -0.5863471 ], [-0.03895181  0.99853706 -0.03750599], [0.58513016 0.05321926 0.80919123]], [0.03,-0.09,-0.23]
32 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.79341114  0.01125857 -0.6085822 ], [-0.04331092  0.998339   -0.03799568], [0.60714346 0.05650445 0.7925806 ]], [0.05,-0.09,-0.27]
33 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.78035688  0.01743723 -0.62509167], [-0.05708508  0.99742377 -0.04344073], [0.62272376 0.06958268 0.77934164]], [0.06,-0.09,-0.29]
34 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.77891678  0.0185578  -0.62685311], [-0.05997472  0.99718493 -0.04500219], [0.62425333 0.07264829 0.7778368 ]], [0.06,-0.09,-0.29]
35 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.7790941   0.01849801 -0.62663436], [-0.05985193  0.99719346 -0.04497711], [0.6240437  0.07254668 0.77801442]], [0.06,-0.09,-0.29]
36 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.7831161   0.02392867 -0.62141544], [-0.06582392  0.99683541 -0.04456735], [0.61838251 0.07580542 0.78221267]], [0.06,-0.09,-0.29]
37 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.80680948  0.04508284 -0.58908945], [-0.07905532  0.99635577 -0.03202238], [0.58549905 0.07240664 0.80743307]], [0.05,-0.09,-0.24]
38 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.8581019   0.03377197 -0.5123679 ], [-0.05840461  0.99777836 -0.03204763], [0.51014745 0.0574248  0.85816765]], [0.04,-0.09,-0.15]
39 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.92041051  0.06686413 -0.38519365], [-0.05421816  0.99757624  0.04361209], [ 0.38717628 -0.01925649  0.92180449]], [0.03,-0.06,-0.06]
40 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.96295834  0.08585099 -0.25561953], [-0.05993228  0.99239421  0.10752599], [ 0.26290682 -0.08822311  0.96077907]], [0.03,-0.03,-0.01]
